Date,Description,Amount,Category
2024-11-01,Whole Foods Market,87.43,Food & Dining
2024-11-02,Shell Gas Station,45.00,Transportation
2024-11-03,Netflix Subscription,15.99,Entertainment
2024-11-05,Starbucks,6.50,Food & Dining
2024-11-06,Amazon Purchase,124.99,Shopping
2024-11-08,Electric Bill,120.00,Bills & Utilities
2024-11-10,Target,65.32,Shopping
2024-11-12,Uber Ride,18.50,Transportation
2024-11-13,Restaurant Dinner,54.00,Food & Dining
2024-11-15,Internet Bill,79.99,Bills & Utilities
2024-11-16,CVS Pharmacy,23.45,Healthcare
2024-11-17,Grocery Store,92.15,Food & Dining
2024-11-18,Spotify Premium,10.99,Entertainment
2024-11-19,Gas Station,42.00,Transportation
